Wavelength (nm),Voltage (V),Current (nA),Data Collection Day
365,0.1,0.18089,0
365,0.1,0.17606,0
365,0.1,0.17358,0
365,0.1,0.1725,0
365,0.1,0.17707,0
365,0.1,0.17415,0
365,0.1,0.17455,0
365,0.1,0.17061,0
365,0.1,0.17464,0
365,0.1,0.18544,0
365,0.1,0.17601,0
365,0.2,0.10855,0
365,0.2,0.11194,0
365,0.2,0.10682,0
365,0.2,0.11035,0
365,0.2,0.11037,0
365,0.2,0.11895,0
365,0.2,0.11581,0
365,0.2,0.11279,0
365,0.2,0.11556,0
365,0.2,0.11532,0
365,0,0.00167,1
365,0,0.00163,1
365,0,0.00178,1
365,0,0.0017,1
365,0,0.00151,1
365,0,0.00177,1
365,0,0.00163,1
365,0,0.00151,1
365,0,0.00194,1
365,0,0.00155,1
365,0,0.0008,1
365,0.3,0.02492,1
365,0.3,0.02484,1
365,0.3,0.02561,1
365,0.3,0.02662,1
365,0.3,0.02814,1
365,0.3,0.04164,1
365,0.3,0.04633,1
365,0.3,0.025,1
365,0.3,0.02863,1
365,0.3,0.0295,1
365,1.8,0.00272,1
365,1.8,0.00371,1
365,1.8,0.00375,1
365,1.8,0.00208,1
365,1.8,-0.00476,1
365,1.8,-0.00278,1
365,1.8,0.00273,1
365,1.8,0.00701,1
365,1.8,0.00666,1
365,1.8,0.00572,1
365,0.6,0.07935,1
365,0.6,0.08268,1
365,0.6,0.08165,1
365,0.6,0.07973,1
365,0.6,0.07783,1
365,0.6,0.06744,1
365,0.6,0.06449,1
365,0.6,0.07559,1
365,0.6,0.07588,1
365,0.6,0.06454,1
365,1,0.03283,1
365,1,0.03401,1
365,1,0.03408,1
365,1,0.03723,1
365,1,0.03552,1
365,1,0.02725,1
365,1,0.02457,1
365,1,0.02633,1
365,1,0.02919,1
365,1,0.02754,1
365,2.1,-0.02953,1
365,2.1,-0.0297,1
365,2.1,-0.03018,1
365,2.1,-0.02952,1
365,2.1,-0.0291,1
365,2.1,-0.02285,1
365,2.1,-0.02714,1
365,2.1,-0.02626,1
365,2.1,-0.02583,1
365,2.1,-0.02483,1
435.8,0,0.09765,1
435.8,0,0.09569,1
435.8,0,0.09257,1
435.8,0,0.09419,1
435.8,0,0.05521,1
435.8,0,0.04008,1
435.8,0,0.09419,1
435.8,0,0.0445,1
435.8,0,0.04824,1
435.8,0,0.073,1
435.8,0,0.06694,1
435.8,1.43,0.00662,1
435.8,1.43,0.00647,1
435.8,1.43,0.00663,1
435.8,1.43,0.00646,1
435.8,1.43,0.00635,1
435.8,1.43,0.00783,1
435.8,1.43,0.00767,1
435.8,1.43,0.00776,1
435.8,1.43,0.0081,1
435.8,1.43,0.00757,1
435.8,1.6,0.00062,1
435.8,1.6,0.00093,1
435.8,1.6,0.00113,1
435.8,1.6,0.00207,1
435.8,1.6,0.00232,1
435.8,1.6,0.0034,1
435.8,1.6,0.00328,1
435.8,1.6,0.00234,1
435.8,1.6,0.00223,1
435.8,1.6,0.00884,1
435.8,1.3,0.01357,1
435.8,1.3,0.01747,1
435.8,1.3,0.01907,1
435.8,1.3,0.02268,1
435.8,1.3,0.01492,1
435.8,1.3,0.02428,1
435.8,1.3,0.02551,1
435.8,1.3,0.02401,1
435.8,1.3,0.01998,1
435.8,1.3,0.01804,1
435.8,0.75,0.04519,1
435.8,0.75,0.04528,1
435.8,0.75,0.0437,1
435.8,0.75,0.04869,1
435.8,0.75,0.04538,1
435.8,0.75,0.04777,1
435.8,0.75,0.05015,1
435.8,0.75,0.05778,1
